0,1,2,3,4,5,6
番号,基準点コード,局名称,県名,施設名,受信機名,アンテナ名
20921,EL06040400202,八森,秋田県,八蜂町立八森小学校,TOPCON NETG5,TRM59800.80 GSI
20922,EL06040231201,鷹巣,秋田県,北秋田市立鷹巣南小学校,TRIMBLE NETR9,TRM59800.80 GSI
20923,EL06040101001,八竜,秋田県,三種町立八竜中学校,TOPCON NETG5,TRM59800.80 GSI
20924,EL05940740202,阿仁２,秋田県,打当温泉「マタギの湯」,TOPCON NETG5,TRM59800.80 GSI
20925,EL05940203401,岩城,秋田県,由利本荘市立岩城中学校,TRIMBLE NETR9,TRM59800.80 GSI
20926,EL05940240702,太田,秋田県,大仙市立太田南小学校,TRIMBLE ALLOY,TRM59800.80 GSI
20927,EL05840725202,東由利,秋田県,由利本荘市立東由利中学校,NetR9,TRM59800.80
20928,EL05840557701,東成瀬,秋田県,東成瀬村立椿川小学校跡地（椿川公民館別館）,TOPCON NETG5,TRM59800.80 GSI
20929,EL05840436502,雄勝,秋田県,湯沢市立雄勝中学校,TOPCON NETG5,TRM59800.80 GSI
20930,EL05840312402,真室川,山形県,平枝地区農村公園,TOPCON NETG5,TPSCR.G5 GSI
20931,EL05840130901,最上,山形県,最上町立月楯小学校,TRIMBLE NETR9,TPSCR.G5 GSI
20932,EL05839054302,鶴岡,山形県,鶴岡市立豊浦小学校,TRIMBLE NETR9,TRM59800.80 GSI
20933,EL05740715701,大蔵,山形県,旧大蔵村立沼台小中学校（H21.3.31廃校）,TRIMBLE NETR9,TPSCR.G5 GSI
20934,EL05740230101,山形,山形県,山形市立蔵王第三小学校･第二中学校,TOPCON NETG5,TPSCR.G5 GSI
20935,EL05639770003,飯豊,山形県,飯豊町立中津川小中学校,TRIMBLE ALLOY,TPSCR.G5 GSI
20936,EL05640630501,福島２,福島県,福島市立飯坂小学校,TRIMBLE NETR9,TPSCR.G5 GSI
20937,EL05639470702,北塩原,福島県,北塩原村立大塩小学校,TOPCON NETG5,TPSCR.G5 GSI
20938,EL05640340501,福島東和,福島県,二本松市立東和中学校,TRIMBLE NETR9,TPSCR.G5 GSI
20939,EL05639165602,会津高田,福島県,会津美里町立第一中学校,TRIMBLE NETR9,TPSCR.G5 GSI
20940,EL05640133701,福島郡山３,福島県,郡山市立大田小学校,TRIMBLE NETR9,TPSCR.G5 GSI
20941,EL05539759402,昭和,福島県,昭和村立昭和中学校小野川分校,TOPCON NETG5,TPSCR.G5 GSI
20942,EL05540715703,福島長沼,福島県,須賀川市立長沼小学校,TRIMBLE NETR9,TPSCR.G5 GSI
20943,EL05540635602,玉川,福島県,玉川村立須釜小学校,TRIMBLE ALLOY,TPSCR.G5 GSI
20944,EL05540651702,いわき３,福島県,いわき市立差塩中学校(小学校併設),TRIMBLE NETR9,TPSCR.G5 GSI
20945,EL05540432001,棚倉,福島県,棚倉森林管理署裏町有地,TOPCON NETG5,TPSCR.G5 GSI
20946,EL05540351501,いわき４,福島県,いわき市立田人第二小学校南大平分校,TOPCON NETG5,TPSCR.G5 GSI
20947,EL05440537002,常北,茨城県,城里町立石塚小学校,TRIMBLE ALLOY,TRM59800.80 GSI
20948,EL05540504201,那須２,栃木県,那須町共同利用模範牧場,TOPCON NETG5,TRM59800.80 GSI
20949,EL05539244002,栗山,栃木県,日光市立川俣小中学校（廃校）,TOPCON NETG5,TRM59800.80 GSI
20950,EL05439664001,鹿沼,栃木県,北押原コミュニティセンター,TRIMBLE ALLOY,TRM59800.80 GSI
20951,EL05439574202,上三川,栃木県,上三川町立北小学校,TRIMBLE ALLOY,TRM59800.80 GSI
20952,EL05539200401,水上２,群馬県,みなかみ町立藤原中学校,TOPCON NETG5,TRM59800.80 GSI
20953,EL05439712801,群馬利根,群馬県,旧根利小学校,5700,TRM29659.00
20954,EL05438760702,中之条,群馬県,群馬県立中之条高等学校,TRIMBLE ALLOY,TRM59800.80 GSI
20955,EL05439407101,群馬,群馬県,高崎市立国府小学校,TOPCON NETG5,TRM59800.80 GSI
20956,EL05439322002,境,群馬県,境町立南中学校,TOPCON NETG5,TRM59800.80 GSI
20957,EL05438254601,南牧,群馬県,高原運動公園,TOPCON NETG5,TRM59800.80 GSI
20958,EL05338771403,埼玉大滝,埼玉県,三峰山駐車場（第二駐車場）,TRIMBLE NETR9,TRM59800.80 GSI
20959,EL05239577702,鴨川２,千葉県,旧鴨川市立大山小学校（平成21年3月31日廃校）,TOPCON NETG5,TRM159900.00 GSI
20960,EL05339026902,平塚,神奈川県,平塚市立大神公民館,TRIMBLE NETR9,TRM59800.80 GSI
20961,EL05639204802,新潟下田,新潟県,三条市立森町小学校,TRIMBLE NETR9,TRM59800.80 GSI
20962,EL05538655002,高柳,新潟県,じょんのび村,TOPCON NETG5,TRM59800.80 GSI
20963,EL05539518902,湯之谷,新潟県,奥只見浄化センター,TRIMBLE NETR9,TPSCR.G5 GSI
20964,EL05538532601,安塚,新潟県,上越市安塚Ｂ＆Ｇ海洋センター(和田スポーツ公園),TOPCON NETG5,TPSCR.G5 GSI
